T12	T13	T21	T23	T31	T32	area.F
date_str20120730	0.331504420904437	-0.149309344078515	0.000840877402058396	-0.22539848141708	0.0842208186339513	0.579849430012896	-0.159504281270263
date_str20120731	-0.077317777337748	-0.313772628232407	0.0856403939451171	0.78582290924445	0.141598092864199	1.32791570133058	-0.812097394253464
date_str20120801	0.0522079570509255	-0.129181510337849	0.384149480908878	0.0124742449515903	0.312309118124124	0.84513482594961	-1.19809510905893
date_str20120802	-0.0320498064271871	-0.357547546794494	0.243408087728295	-0.229428488789455	0.0712906961735352	0.632560899075453	-0.848266688697708
date_str20120803	0.0304885156291898	-0.542471253633248	0.580891039049917	0.140347253632691	0.470947965448553	0.956195794323716	-0.920723205269773
date_str20120804	0.231267249350489	0.0428034252309062	0.305756674153322	0.757032103482005	0.349315293820332	0.962794895279807	-1.09238846965313
date_str20120805	0.420807079233438	0.407471676825431	0.256585846113009	0.626418794102778	0.12794408534003	1.01964510048953	-0.75189004780975
date_str20120806	0.10094858197415	-0.010013265597817	0.617384005363856	0.627997913964964	0.379688561941101	0.904860676800973	-1.05633672991098
date_str20120807	0.00413761395913634	-0.255598463974875	0.582944390438314	0.288272030238271	0.382949471485807	0.90422504464592	-0.481943038054507
date_str20120808	0.248916020096021	-0.0147779489357201	0.402250073764397	0.304243541957813	0.330983498022068	0.424004481059193	-0.403758053522919
date_str20120809	0.0988147557300352	0.0132455647497275	0.417181212071228	0.918139865010892	0.35563162356389	0.898812508942466	-0.988403882711551
date_str20120810	0.0917908613053133	-0.166581237881175	0.51941750498553	0.619024355366499	0.45089375086034	0.944250517126491	-0.472216153847914
date_str20120811	-0.286767675932542	-0.678408300419847	0.760355994002844	0.366082726014591	0.677247078223222	0.755793313735623	-1.05648705186546
date_str20120812	0.0328176906845883	-0.171583324042208	0.595054255054988	-0.0823550935618732	0.362068622216107	0.352086407188301	-0.812824078496305
date_str20120813	0.381462083345332	-0.122207236475712	0.540721751934162	-1.42006240012652	0.602666833700848	-0.593771647453277	-0.856690037754058
date_str20120814	0.87940264654537	0.48416774967542	0.16504033492607	-0.491285349691938	0.305859887983944	0.423350228082826	-0.156853822164902
date_str20120815	0.768822773825345	0.385928601301416	0.0157979336510944	-1.16944545166169	0.175007334792076	-0.246793251788137	-0.842057059150084
date_str20130615	-0.506400822318913	-0.656610899832643	0.128052110373825	-0.179779933633442	0.0433656021356512	-0.659333163812341	-0.232028547080963
